Mama Said,Lukas Graham
Where No One Goes,Jónsi;John Powell
La Da Dee,Cody Simpson
As It Was,Harry Styles
Let Her Go,Passenger
Remind Me,Tom Grennan
Home,Vince Staples;Richie Kohan
Umbrella Beach,Owl City
Shake It Off,Taylor Swift
High Hopes,Panic! At The Disco
Party In The U.S.A.,Miley Cyrus
Fireflies,Owl City
Pompeii,Bastille
The Nights,Avicii
Best Day Of My Life,American Authors
Shut Up and Dance,WALK THE MOON
Hey, Soul Sister,Train
Go Big Or Go Home,American Authors
Kaleidoscope,A Great Big World
A Sky Full of Stars,Coldplay
Viva La Vida,Coldplay
I Ain't Worried,OneRepublic
West Coast,OneRepublic
Run,OneRepublic
Maps,Maroon 5
Steal My Girl,One Direction
Count on Me,Bruno Mars
Wake Me Up,Avicii
Hey Brother,Avicii
"You Can See You Again? - From ""Wreck-It Ralph"" Soundtrack Version",Owl City
"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins
All Star,Smash Mouth
Walking On Sunshine,Katrina & The Waves
Sticks & Stones,Jónsi
"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins
Sweet Home Alabama,Lynyrd Skynyrd
I Want You Back,The Jackson 5
Komm gib mir deine Hand - Remastered 2009,The Beatles
Blitzkrieg Bop - 2016 Remaster,Ramones
Drive,Ben Rector
Stayin' Alive,Bee Gees
Way Back When,Gritsfolk
Rockstar,A Great Big World
Life Is Beautiful,Tim McMorris
Life is a Highway,Rascal Flatts
Good Time,Owl City;Carly Rae Jepsen
What Makes You Beautiful,One Direction
Best Song Ever,One Direction
Stereo Hearts (feat. Adam Levine),Gym Class Heroes;Adam Levine
Sunshine,OneRepublic
(It's Gonna Be) Okay,The Piano Guys;A van der Beek
Story of My Life,One Direction
Firework,Katy Perry
"Try Everything - From ""Zootropolis""",Shakira
"Happy - From ""Despicable Me 2""",Pharrell Williams
Safe and Sound,Capital Cities
Feel It Still,Portugal. The Man
Heat Waves,Glass Animals
Blinding Lights,The Weeknd
Magic (feat. Rivers Cuomo),B.o.B;Rivers Cuomo
Roll Up,Fitz and The Tantrums
I Knew You Were Trouble,Taylor Swift
Centuries,Fall Out Boy
Immortals,Fall Out Boy
Extreme Ways,Moby
I Want To Run,Mates of State
didya think,Arlie
One Foot,WALK THE MOON
Geronimo,Sheppard
Counting Stars,OneRepublic
Brand New,Ben Rector
Ride,Twenty One Pilots
Riptide,Vance Joy
Something Just Like This,The Chainsmokers;Coldplay
Stressed Out,Twenty One Pilots
Deer In The Headlights,Owl City
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
Home,Phillip Phillips
I Love You Will Still Sound The Same,Oh Honey
Tokyo,Owl City;SEKAI NO OWARI
Stop And Stare,OneRepublic
Secrets,OneRepublic
Someday,OneRepublic
It's Time,Imagine Dragons
Unbelievable,City;Hanson
Pretty Brown Eyes,Cody Simpson
How To Fall,Josh Wilson
Fire and the Flood,Vance Joy
Call Me Maybe,Carly Rae Jepsen
Sunday Best,Surfaces
Dancing in September,Overwings
Sunroof,Nicky Youre;dazy
