Our God,Chris Tomlin
Good Good Father,Chris Tomlin
Evidence - Radio Version,Josh Baldwin
Who You Are To Me (feat. Lady A),Chris Tomlin;Lady A
Come As You Are,Crowder
King Of The Jungle,Steven Curtis Chapman
Fix My Eyes,for KING & COUNTRY
It's Not Over Yet,for KING & COUNTRY
Run Wild,for KING & COUNTRY;Andy Mineo
Nobody (feat. Matthew West),Casting Crowns;Matthew West
Truth Be Told,Matthew West
We Believe,Newsboys
Battle Belongs,Phil Wickham
Glorious Day - Radio Version,Passion;Kristian Stanfill
Dead Man Walking,Jeremy Camp
God's Not Dead (Like A Lion),Newsboys
He Reigns,Newsboys
Start Right Here,Casting Crowns
Old Church Choir,Zach Williams
Sky Spills Over,Michael W. Smith
House Of The Lord,Phil Wickham
This Is Amazing Grace,Phil Wickham
Wake Up Sleeper,Austin French
Joy,Newsboys
You Found Me,FFH
Born Again,Austin French
Broken Things,Matthew West
The River,Jordan Feliz
Better Is One Day,Matt Redman
Courageous,Casting Crowns
Lift Your Head Weary Sinner (Chains),Crowder
I Will Go,Big Daddy Weave
Overwhelmed,Big Daddy Weave
Shake,MercyMe
Say Say,Kristian Stanfill
From the Day,I AM THEY
Forever,Chris Tomlin
Echo,Newsboys
Gotta Move,Go Fish
Impossible,Building 429
How He Loves,David Crowder Band
The Gospel,Ryan Stevenson
Hymn Of Heaven,Phil Wickham
Lord, I Need You - Live,Passion;Chris Tomlin
Praise You In This Storm,Casting Crowns
Voice of Truth,Casting Crowns
Only Jesus,Casting Crowns
Scars in Heaven,Casting Crowns
Hello, My Name Is,Matthew West
Made To Love,tobyMac
Your Grace Is Enough,Matt Maher
Gratitude,Brandon Lake
Great Things,Phil Wickham
I See Grace,Micah Tyler
Word of God Speak,MercyMe
20/10 (Raise the Banner),Audio Adrenaline
Blessings,Laura Story
Mighty To Save,Hillsong Worship
Revelation Song,The Worship Initiative;Shane & Shane
Revelation Song,Newsboys
Grace Wins,Matthew West
TOGETHER,for KING & COUNTRY;Kirk Franklin;Tori Kelly
Grace Alone,The Modern Post
Lead Me,Sancus Real
For God Is With Us,for KING & COUNTRY
Love Is Alive,Citizen Way
Like AMatch,tobyMac
Give Me Your Eyes,Brandon Heath
Lion and the Lamb - Studio,Leeland
In the House,Crowder
Amen,for KING & COUNTRY
Happy Dance,MercyMe
Speak Life,tobyMac
Good Fight,Unspoken
Reason,Unspoken
Gospel Song,Rhett Walker
Bulletproof,Citizen Way
Ready Set Go (feat. Capital Kings),Royal Tailor;Capital Kings
Kings & Queens,Audio Adrenaline
Everything,MercyMe
Gotta Live,Tedashii;Jordan Feliz
Miracles,Colton Dixon
Love,We Are Messengers
Living Hope,Phil Wickham
Mighty To Save,Newsboys
Revolutionary,Josh Wilson
Reckless Love,Cory Asbury
Do It Again,Steven Curtis Chapman
King of My Heart,Kutless
Sing (Like You've Already Won),MercyMe
Your Love Never Fails,Newsboys
