"When Can I See You Again? - From ""Wreck-It Ralph"" Soundtrack",Owl City
Umbrella Beach,Owl City
King of the Mountain,Louis II
Kaleidoscope,A Great Big World
Run,OneRepublic
Heat Waves,Glass Animals
I Ain't Worried,OneRepublic
Sticks & Stones,Jónsi
Blinding Lights,The Weeknd
As It Was,Harry Styles
Home,Vince Staples; Richie Kohan
Roll Up,Fitz and The Tantrums
I Knew You Were Trouble,Taylor Swift
Centuries,Fall Out Boy
Immortals,Fall Out Boy
Feel It Still,Portugal. The Man
Viva La Vida,Coldplay
Party In The U.S.A.,Miley Cyrus
Shake It Off,Taylor Swift
Pompeii,Bastille
Extreme Ways,Moby
High Hopes,Panic! At The Disco
82 Fires,The East Pointers
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
"Happy (From ""Despicable Me 2"")",Pharrell Williams
Fireflies,Owl City
Good Time,Owl City; Carly Rae Jepsen
"Try Everything - From ""Zootopia""",Shakira
Better When I'm Dancin',Meghan Trainor
Best Song Ever,One Direction
Firework,Katy Perry
Canyon Moon,Harry Styles
Radioactive,Imagine Dragons
I Want To Run,Mats Eastate
Rockstar,A Great Big World
Remind Me,Tom Grennan
One Foot,WALK THE MOON
Counting Stars,OneRepublic
Way Back When,GriZfolk
West Coast,OneRepublic
La Da Dee,Cody Simpson
Geronimo,Sheppard
Where No One Goes,Jónsi; John Powell
POP 101,Marianas Trench
Mama Said,Lukas Graham
Brand New,Ben Rector
Say Geronimo (Dance Mix),Prairie Grass
Fight Song,Rachel Platten
Whatever It Takes,Imagine Dragons
Shut Up and Dance,WALK THE MOON
Wake Me Up,Avicii
These Boots Are Made for Walkin',Olivia Holt
Think About Things,Daði Freyr
Roar,Katy Perry
Believer,Imagine Dragons
This Is What You Came For,Calvin Harris; Rihanna
Right Now,Van Halen
What Makes You Beautiful,One Direction
Let Her Go,Passenger
Best Day Of My Life,American Authors
Life is a Highway,Rascal Flatts
Mr. Blue Sky,Electric Light Orchestra
DON'T YOU WORRY,Black Eyed Peas; Shakira; David Guetta
Crazy,Gnarls Barkley
As It Was,Harry Styles
Call Me Maybe,Carly Rae Jepsen
Hey, Soul Sister,Train
A Sky Full of Stars,Coldplay
Maps,Maroon 5
Steal My Girl,One Direction
Ride,Twenty One Pilots
Stressed Out,Twenty One Pilots
Something Just Like This,The Chainsmokers; Coldplay
We Are Young (feat. Janelle Monáe),fun.; Janelle Monáe
Home,Phillip Phillips
Stop And Stare,OneRepublic
Secrets,OneRepublic
ABC,The Jackson 5
Yellow,Coldplay
Memories,Maroon 5
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone; Swae Lee
Riptide,Vance Joy
Treat You Better,Shawn Mendes
Paradise,Coldplay
A Beautiful Life,Tim McMorris
Talk Too Much,COIN
Crash My Car,COIN
Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee),Metro Boomin; A$AP Rocky; Roisee
Safe And Sound,Capital Cities
Castle on the Hill,Ed Sheeran
Stereo Hearts (feat. Adam Levine),Gym Class Heroes; Adam Levine
Something That I Want,Grace Potter
California,Silent Pilot
The Walker,Fitz and The Tantrums
Symphony (feat. Zara Larsson),Clean Bandit; Zara Larsson
Highland Girl,Nathan Evans
Out Of The Rain,TheFatRat; Shiah Maisel
I Lived,OneRepublic
It Is What It Is,Jenna Raine
Icarus,Bastille
Rise Up,TheFatRat
Adding To The Noise (Dayglow Version),Switchfoot; Dayglow
