My Stick,Bad Lip Reading
Hostiles on the Hill,Bad Lip Reading
Seagulls! (Stop It Now),Bad Lip Reading
It's the Hard-Knock Life,Greg Pattillo
Poisoning Pigeons In The Park,Tom Lehrer
We Will All Go Together When We Go,Tom Lehrer
National Brotherhood Week,Tom Lehrer
New Math,Tom Lehrer
Who's Next?,Tom Lehrer
Wernher Von Braun,Tom Lehrer
"Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)",Weird Al Yankovic
Word Crimes,Weird Al Yankovic
Bushels of Love,Bad Lip Reading
Hairy Legs,The Gregory Brothers
It's Corn,Tariq;The Gregory Brothers;Recess Therapy
Clementine,Tom Lehrer
ABBY,Travis Denning
Mexican Rhapsody,Slugs and Bugs
OREO Wonderland Song feat. Owl City,OREO feat. Owl City
Peanut Butter and Jelly,InsideOut A Cappella
Burgers,Les Jones
Mood Rings,Relient K
College Kids,Relient K
Shia LaBeouf Live,Rob Cantor
Diggy Diggy Hole,Clamavi De Profundis
Trololo,Russian Music Band
Banana Man,Ghoti Hook
Concerto For Horn And Hardart, S.27,P.D.Q. Bach;Peter Schickele
Sinfonia Concertante, S.98.6,P.D.Q. Bach;Peter Schickele
Monica - Demo,Imagine Dragons
The Muffin Song (asdfmovie),The Gregory Brothers;TomSka
Dumb Ways to Die,Tangerine Kitty
The Duck Song,Bryant Oden
My Hair Goes,Rhett and Link
History's Made By Stupid People,Arrogant Worms
Give That Wolf A Banana,Subwoolfer
United States Of Whatever,Liam Lynch
Albuquerque,Weird Al Yankovic
Hard to Be the Bard,"Christian Borle;""Something Rotten!"" Ensemble;Wayne Kirkpatrick;Karey Kirkpatrick"
The Mississippi Squirrel Revival,Ray Stevens
Gitarzan,Ray Stevens
