Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis;Ray Dalton
Freaks - Radio Edit,Timmy Trumpet;Savage
Born For This,The Score
Nothing Can Stop Me Now,Mark Holman
Turn It Up,Oh The Larceny
Eye of the Tiger,Survivor
Thunderstruck,AC/DC
The Final Countdown,Europe
Jump - 2015 Remaster,Van Halen
Legends Are Made,Sam Tinnesz
Centuries,Fall Out Boy
Immortals,Fall Out Boy
Seven Nation Army,The White Stripes
We Will Rock You - Remastered 2011,Queen
Don't Stop Believin',Journey
DJ Got Us Fallin' In Love (feat. Pitbull),USHER;Pitbull
Eye of the Tiger,Survivor
"Mighty Wings - From ""Top Gun"" Original Soundtrack",Cheap Trick
Whatever It Takes,Imagine Dragons
You Give Love A Bad Name,Bon Jovi
Believer,Imagine Dragons
Sweet Child O' Mine,Guns N' Roses
I Like To Win,Shonlock
Walking on Water,Lecrae
Out Of The Rain,TheFatRat;Slain Meisel
We're Not Gonna Take It,Twisted Sister
Magic (feat. Rivers Cuomo),B.o.B;Rivers Cuomo
The Saints,Andy Mineo;Trip Lee;KB
