"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins
Y.M.C.A.,Village People
Another One Bites the Dust - Remastered 2011,Queen
Hotel California - 2013 Remaster,Eagles
Sweet Home Alabama,Lynyrd Skynyrd
We Are The Champions,Queen
We Will Rock You - Remastered 2011,Queen
Don't Stop Me Now - Remastered 2011,Queen
Under Pressure - Remastered 2011,Queen; David Bowie
Any Way You Want It,Journey
Hit Me With Your Best Shot,Pat Benatar
Immigrant Song - Remaster,Led Zeppelin
Stairway to Heaven - Remaster,Led Zeppelin
Take On Me,a-ha
Right Now,Van Halen
We Built This City,Starship
The Final Countdown,Europe
Uptown Girl,Billy Joel
Dancing Queen,ABBA
Livin' On A Prayer,Bon Jovi
Jump - 2004 Remaster,Van Halen
Thunderstruck,AC/DC
"Danger Zone - From ""Top Gun"" Soundtrack",Kenny Loggins
Eye of the Tiger,Survivor
I'm Gonna Be (500 Miles),The Proclaimers
I Want You Back,The Jackson 5
The Rubberband Man,The Spinners
The Boys Are Back In Town,Thin Lizzy
Starman - 2012 Remaster,David Bowie
Johnny B. Goode,Chuck Berry
Komm gib mir deine Hand - Remastered 2009,The Beatles
I'm a Believer - 2006 Remaster,The Monkees
Back In The U.S.S.R. - Remastered 2009,The Beatles
Born to Be Wild - Single Version,Steppenwolf
Blitzkrieg Bop - 2016 Remaster,Ramones
Don't Stop Believin',Journey
Mr. Blue Sky,Electric Light Orchestra
Africa,TOTO
Should I Stay or Should I Go - Remastered,The Clash
American Pie,Don McLean
Kung Fu Fighting,Carl Douglas
Surfin' U.S.A. - Remastered 2001,The Beach Boys
Walk This Way,Aerosmith
Piano Man,Billy Joel
Stayin' Alive,Bee Gees
Take A Chance On Me,ABBA
I'm Still Standing,Elton John
Back In Black,AC/DC
Crazy Train,Ozzy Osbourne
Rock And Roll All Nite,KISS
Spirit In The Sky - Deluxe Edition,Norman Greenbaum
Bad To The Bone,George Thorogood & The Destroyers
Tequila,The Champs
We're Not Gonna Take It,Twisted Sister
Highway to Hell,AC/DC
You Give Love A Bad Name,Bon Jovi
Separate Ways (Worlds Apart),Journey
More Than a Feeling,Boston
Layla,Derek & The Dominos
Hold the Line,TOTO
Free Bird,Lynyrd Skynyrd
Do I Have To Say The Words?,Bryan Adams
Carry On Wayward Son,Kansas
Tom Sawyer,Rush
Route 66,Chuck Berry
Come A Little Bit Closer,Jay & The Americans
Here I Go Again - 2018 Remaster,Whitesnake
Dream On,Aerosmith
Sweet Child O' Mine,Guns N' Roses
Don't Bring Me Down,Electric Light Orchestra
Who'll Stop The Rain,Creedence Clearwater Revival
Separate Ways (Worlds Apart) [2024 Remaster],Journey
Up Around The Bend,Creedence Clearwater Revival
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA
Hooked On A Feeling,Blue Swede; Björn Skifs
Come Together - Remastered 2009,The Beatles
Welcome To The Jungle,Guns N' Roses
