All Hail King Jesus,Jeremy Riddle
Rejoice,The Modern Post
Always Good,Andrew Peterson
Christ the Sure and Steady Anchor,Matt Boswell
It Was Finished Upon That Cross,CityAlight
The Lord Our God,The Worship Initiative;Shane & Shane;Jon Abel
Be Thou My Vision,Citizens
Risen Indeed,Andrew Peterson
Better Word - Single Version,Leeland
In Christ Alone,Shane & Shane
His Mercy Is More,Matt Boswell;Matt Papa
O Praise the Name (Anástasis),The Worship Initiative;Shane & Shane
Rejoice - Acoustic,The Modern Post
His Heart Beats,Andrew Peterson
To The Only God,Crowder;Shane & Shane
Sovereign Over Us,The Worship Initiative;Shane & Shane
It Is Finished - Acoustic,The Modern Post
He Will Hold Me Fast,Shane & Shane
Romans 11 (Doxology),Andrew Peterson
Only a Holy God,CityAlight
Christ Is Risen He Is Risen Indeed,Keith & Kristyn Getty;Shane & Shane;Sing!
The Passover Song (feat. Sean Carter),Caroline Cobb;Sean Carter
Living Hope,The Worship Initiative;Shane & Shane
Your Will Be Done - Acoustic Release,CityAlight
Grace Alone,The Modern Post
Psalm 46 (Lord of Hosts),Shane & Shane
Yet Not I But Through Christ In Me,CityAlight
Ancient of Days,CityAlight
"Jesus Strong and Kind",CityAlight;Colin Buchanan
Our God - Acoustic,Chris Tomlin
This Is Amazing Grace - Acoustic,Phil Wickham
O Come to the Altar (Radio Version),Elevation Worship
God Is for Us,CityAlight
Good Good Father,Chris Tomlin
"O Lord My Rock and My Redeemer - Live",Integrity's Hosanna! Music;Sovereign Grace Music
Endless Praise,Charity Gayle
A Passion For Thee,The Wilds
My One Safe Place,Andrew Peterson
Of Him I Love Both Day and Night,Andrew Peterson;Andrew Peterson
We Will Feast in the House of Zion,The Worship Initiative;Dain Wright;John Mark Kohl
Come As You Are,Music & Word
A Christian's Daily Prayer - Live,Sovereign Grace Music
"God The Uncreated One (King Forevermore) - Live",Keith & Kristyn Getty;Sing!;Tommy Bailey
Psalm 91: Call Jehovah Your Salvation,Katy Tom
In Christ Alone,Keith & Kristyn Getty
"Mighty Lord Extend Your Kingdom",Gregory Wilbur
"Gather 'Round, Ye Children Come",Andrew Peterson
Where Were You,Ghost Ship
Trisagion,Fernand Ortega
O God Beyond All Praising (Jupiter Theme),Lyceum Philharmonic at American Heritage School;Kayson Brown
Never Once,Matt Redman
No Other King,Heath Balltzglier;Seth Condrey;Centricity Worship
"Christ Is Risen He Is Risen Indeed",First Baptist Dallas Choir and Orchestra
Rise Up,Andrew Peterson
Because He Lives,The Worship Initiative;Shane & Shane
Endless Praise,Planetshakers
How Rich a Treasure We Possess,Matt Boswell
"Lo He Comes With Clouds Descending",Capitol Hill Baptist Church
He Is - Aaron Jeffrey Album Version,Aaron & Jeoffrey
