A Message,Coldplay
Golden,Harry Styles
Sparks,Coldplay
You're Somebody Else,flora cash
Count on Me,Bruno Mars
Satellite,Harry Styles
Cherry,Harry Styles
Out of Tune,Ben Shive
A Name, a Name, a Name,Ben Shive
Til Kingdom Come,Coldplay
The Scientist,Coldplay
Yellow,Coldplay
Strawberry Swing,Coldplay
Life In Technicolor,Coldplay
too long,Arlie
Vanilla Twilight,Owl City
Wish You Were Here,Pink Floyd
Everybody's Changing,Keane
Mr. Tambourine Man,Bob Dylan
Memories,Maroon 5
Lovely,Twenty One Pilots
This Is The Last Time,Keane
Clocks,Coldplay
Where's My Love,SYML
Je te laisserai des mots,Patrick Watson
Falling in Love at a Coffee Shop,Landon Pigg
Can't Stop Now,Keane
A Rush of Blood to the Head,Coldplay
7 Years,Lukas Graham
Apologize,OneRepublic
Come to Me,The Goo Goo Dolls
Twisted Logic,Coldplay
March To The Sea,Twenty One Pilots
See the Day,The Altogether
Far Kingdom,The Gray Havens
Happier - Stripped,Marshmello;Bastille
Listen to the Music,The Doobie Brothers
Debutante,65daysofstatic
didya think,Arlie
82 Fires,The East Pointers
saman (berlin) - live,Ólafur Arnalds
Wait for the Moment,Vulfpeck
Redecorate,Twenty One Pilots
Madness,Muse
Happy Together,The Turtles
Goodbye Yellow Brick Road - Live at the Variety Playhouse, Atlanta, GA - May 2013,Sara Bareilles
Will You Grow Old With Me,Built By Titan;Skybourne;Siren Ventura
Dust in the Wind,Kansas
still feel.,half•alive
Layla - Acoustic Live,Eric Clapton
Flying Ants,40 Fingers
Riptide,Vance Joy
I Know What I Know (with General M.D. Shirinda & The Gaza Sisters),Paul Simon;General M.D. Shirinda;The Gaza Sisters
Bury the Moon,Aséir
Go,The Gray Havens
Green Light,Wake Low
You Make My Dreams (Come True),Daryl Hall & John Oates
Disco Snails,Vulfmon;Zachary Barker
Funky Duck,Vulfpeck
The One Moment,OK Go
Subliminal,half•alive
arrow,half•alive
Loop Cycle,The Gray Havens
Lost Boy,Relient K
Move Me,half•alive
