How Many Kings,Downhere
"O Come, All You Unfaithful",Sovereign Grace Music
Angels We Have Heard On High,Phil Wickham
O Come O Come Emmanuel,Dawson Hollow
Joy to the World - Live from The Chosen,Phil Wickham;Jordan Feliz;The Bonner Family;Bryan & Katie Torwalt;Maverick City Music
Hark! The Herald Angels Sing,Matt Maher
Emmanuel (God With Us Forever),Bryan & Katie Torwalt
Gratitude,Brandon Lake
Go Tell It On The Mountain,for KING & COUNTRY;Gabby Barrett
Silent Night (Heavenly Peace),We The Kingdom;Dante Bowe;Maverick City Music
Feliz Navidad,José Feliciano
Jesus Is Alive,Josh Wilson
Sing We The Song Of Emmanuel (Gloria),Matt Boswell;Matt Papa
"O Come, O Come Emmanuel",The Gray Havens
O Holy Night,Shane & Shane
"Gather 'Round, Ye Children, Come",Andrew Peterson
Passover Us (feat. Jess Ray),Andrew Peterson;Jess Ray
"So Long, Moses",Andrew Peterson
Deliver Us (feat. Scott Mulvahill),Andrew Peterson;Scott Mulvahill
"O Come, O Come, Emmanuel",Andrew Peterson
Matthew's Begats,Andrew Peterson
It Came to Pass (feat. Andy Gullahorn),Andrew Peterson;Andy Gullahorn
Labor of Love (feat. Jill Phillips),Andrew Peterson;Jill Phillips
The Holly and the Ivy,Andrew Peterson
While Shepherds Watched,Andrew Peterson
Behold the Lamb of God,Andrew Peterson
The Theme of My Song,Andrew Peterson
"O Come, All Ye Faithful",Pentatonix
God Rest Ye Merry Gentlemen,Pentatonix
White Christmas (feat. The Manhattan Transfer),Pentatonix;The Manhattan Transfer
I'll Be Home For Christmas,Pentatonix
Up On The Housetop,Pentatonix
The Christmas Sing-Along,Pentatonix
Coventry Carol,Pentatonix
Coldest Winter,Pentatonix
Good To Be Bad,Pentatonix
"Merry Christmas, Happy Holidays",Pentatonix
Deck The Halls,Pentatonix
How Great Thou Art (feat. Jennifer Hudson),Pentatonix;Jennifer Hudson
Away In A Manger,Pentatonix
Let It Snow! Let It Snow! Let It Snow!,Pentatonix
Hallelujah (feat. The String Mob),Pentatonix;The String Mob
Angels We Have Heard On High,Phil Wickham
O Holy Night / Ave Maria (feat. Lexi Walker),The Piano Guys;Lexi Walker
Mary Did You Know / Core's Christmas Concerto,The Piano Guys
Ode to Joy to the World,The Piano Guys
What Child Is This,The Piano Guys
Gloria / Hark! The Herald Angels Sing,The Piano Guys
"O Little One Sweet, BWV 493 (feat. The King's Singers)",The Piano Guys;The King's Singers
Little Drummer Boy / Do You Hear What I Hear,The Piano Guys
"Silent Night, Holy Night (feat. Placido Domingo)",The Piano Guys;Placido Domingo
I Saw Three Ships,The Piano Guys
The Manger,The Piano Guys
The Sweetest Gift (feat. Craig Aven) - Dedicated to Annie Schmidt,The Piano Guys;Craig Aven
Hark the Herald Angels Sing,Phil Wickham
"Joy to the World (Joyful, Joyful)",Phil Wickham
Away in a Manger (Forever Amen),Phil Wickham
Angels We Have Heard On High,Phil Wickham
This Year for Christmas,Phil Wickham
Star of Wonder,Phil Wickham
The Christmas Waltz,Phil Wickham
Face of God,Phil Wickham
What Child Is This,Phil Wickham
"We Wish You (A Merry, Peaceful, Wonderful Christmas)",Phil Wickham
Carol Of Joy,The University of Utah Singers
Carol of Joy (Live),BYU Combined Choirs and Orchestra;Ronald Staheli
The First Noel (feat. Majesty Rose),Maverick City Music;Majesty Rose
Carol of the Bells,Pentatonix
We Three Kings,Matt Riley;Erica Bianco
"O Come, O Come Emmanuel",Phillips;Craig & Dean
Hope Is Alive,Ellie Holcomb
