Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis; Ray Dalton
Burnin' Up,Jonas Brothers
DJ Got Us Fallin' In Love (feat. Pitbull),Usher; Pitbull
Dynamite,Taio Cruz
My House,Flo Rida
Fire Burning,Sean Kingston
Club Can't Handle Me (feat. David Guetta),Flo Rida; David Guetta
Cheerleader - Felix Jaehn Remix Radio Edit,OMI
Magic (feat. Rivers Cuomo),B.o.B; Rivers Cuomo
I Knew You Were Trouble,Taylor Swift
Classic,MKTO
Turn Down for What,DJ Snake; Lil Jon
Tonight Tonight,Hot Chelle Rae
Don't Let Me Down,The Chainsmokers; Daya
