Careless Whisper,George Michael
Shake Your Groove Thing,Peaches & Herb
Voulez-Vous,ABBA
Summer Night City,ABBA
Sharp Dressed Man (2008 Remaster),ZZ Top
Let's Groove,Earth Wind & Fire
Boogie Wonderland (with The Emotions) - Single Version,Earth Wind & Fire;The Emotions
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA
She Keeps Me Up,Nickelback
A Night to Remember,High School Musical Cast;Disney
Superstition,Stevie Wonder
September,Earth Wind & Fire
Rock 'n Roll (Part 2),Gary Glitter
Wannabe,Spice Girls
Le Freak,CHIC
Wild Wild West (feat. Dru Hill & Kool Moe Dee),Will Smith;Dru Hill;Kool Moe Dee
Lord of the Small,Dan Forrest;Beckenhorst Singers
Sweet Dreams (Are Made of This) - 2005 Remaster,Eurythmics;Annie Lennox;Dave Stewart
Levitating,Dua Lipa
September,Earth Wind & Fire
Dancing Queen,ABBA
Disco Snails,Vulfmon;Zachary Barker
Stayin' Alive,Bee Gees
You Should Be Dancing,Bee Gees
Funky Duck,Vulfpeck
