Revelation Song,Newsboys
Grave Robber,Crowder
He Reigns,Newsboys
I Believe,Phil Wickham
Sign of the Son,Simon Khorolskiy
Run And Run (Christ Is All My Righteousness) - Live,Matt Boswell; Matt Papa
We Believe,Newsboys
Gone (Owl City Version),Switchfoot; Owl City
God's Not Dead (Like A Lion),Newsboys
I Want to Know You,Sonicflood
Lion and the Lamb,Leeland
Born Again - Single Version,Newsboys
This Is Amazing Grace,Phil Wickham
Speak Life,TobyMac
COUNT 'EM,Brandon Lake
I Want to Know You,Sonicflood
Mosaic,Theocracy
I Am Better Than You (3:2-11),Psalmos; Shai Linne
Jesus Is Alive (House of Tea Remix),Shai Linne
The Saints,Andy Mineo; Trip Lee; KB
