Flying Ants,64beats
Debutante,65daysofstatic
Outro,M83
The Head to Heart Journey,Cageless Birds
Venice Rooftops,Jesper Kyd; Assassin's Creed
Ezio's Family,Jesper Kyd; Assassin's Creed
Fight Club,Lorne Balfe; Assassin's Creed
For the Dancing and the Dreaming - Instrumental Version,Cullen Vance
Test Drive,Cullen Vance
The Downed Dragon,Cullen Vance
Romantic Flight,Cullen Vance
First Flight,Henry Jackman
Evacuating London,Harry Gregson-Williams
The Battle,Harry Gregson-Williams
The Adventures of Tintin,John Williams
The Adventure Continues,John Williams
Time,Hans Zimmer
Mountains,Hans Zimmer
Cornfield Chase,Hans Zimmer
National Treasure Suite,Trevor Rabin
Now You See Me,Brian Tyler
End Creditouilles,Michael Giacchino
Discombobulate,Hans Zimmer
Echo in the Wind (Monolism Remix),Minecraft; Monolism
A Familiar Room (Monolism Remix),Minecraft; Monolism
Bromeliad (Monolism Remix),Minecraft; Monolism
Crescent Dunes (Monolism Remix),Minecraft; Monolism
Relic (Monolism Remix),Minecraft; Monolism
stellar,diedlon; enouement
New Shoes,Blue Wednesday
Cereal Killa,Blue Wednesday
"Run, Pt. 2",Andrew Applepie
Gravitational Forces,a2zMP3
"Turandot: Act III, Nessun dorma!",Giacomo Puccini; Luciano Pavarotti; John Alldis Choir
The Arts and the Hours,Jean-Philippe Rameau; Vikingur Ólafsson
Hungarian Rhapsody No. 2,Franz Liszt
Adagio for Strings,Samuel Barber
Liebesfreud,Fritz Kreisler
Slavonic Dances Op. 72 No. 2,Antonín Dvořák
Hungarian Dance No. 5,Johannes Brahms
Danzón No. 2 (Live),Arturo Márquez
"""Theme (From """"Pirates of the Caribbean"""")""",Klaus Badelt; Hans Zimmer
Paganini: La Follia,Fazıl Say
Egmont Overture,Beethoven
Of the Father's Love Begotten,Paul Manz
Tchaikovsky: Nutcracker Overture,Tchaikovsky
Leaving Caladan,Hans Zimmer
My First Hunt,John Powell; Hans Zimmer
Rise,Hans Zimmer
Rise Above,Vigmar Már Sigurðsson
Only the Beginning of the Adventure,Harry Gregson-Williams
My Name Is Barbossa,Klaus Badelt
More Cannons!,John Powell; Hans Zimmer
Nina's Jig,Cullen Vance
Rods and Cones,Blue Man Group
Coming Back Around,John Powell
Flight,Hans Zimmer
Eptesicus,James Newton Howard; Hans Zimmer
Why Do We Fall?,Hans Zimmer
Falling,Sappheiros; Esoreni
Forbidden Friendship,John Powell
Dendrometry,Klangphonics
Can You Hear the Music,Ludwig Göransson
Dream Is Collapsing,Hans Zimmer
First Class,Henry Jackman
His Dark Materials,Lorne Balfe
Herald of the Change,Hans Zimmer
Fireflies (Acoustic Instrumental),Eddie van der Meer
Kiss the Ring,Hans Zimmer
Berceuse Rework,Felix Rösch; mondena quartet
Atlas,Felix Rösch; mondena quartet
Truth,Sappheiros
Save Kung Fu,John Powell; Hans Zimmer
Toothless Lost,John Powell
Swim Class,Ponder
F1,Hans Zimmer
Tick Tock,Blue Wednesday
Antonio Vivaldi: Storm,Vivaldi
Newt Says Goodbye to Tina,James Newton Howard
Real Time,Blue Wednesday
Final Ascent - Single Edit,Hans Zimmer
Where I'm From,Colony House
Separate Ways (Worlds Apart) - Steve Perry & Bryce Miller Remix,Journey; Steve Perry; Bryce Miller
"Jupiter, the Bringer of Jollity",Gustav Holst
Theme from Schindler's List,John Williams
Hypersleep,65daysofstatic
Meet the IMF,Lorne Balfe
Mission: Impossible – Dead Reckoning Part One Theme,Lorne Balfe
