Candyland,Tobu
Entropy,Elektronomia;Alex Skrindo
Nekozilla,Different Heaven
Howling,Lupus Nocte
Spero,Lupus Nocte
Crab Rave,Noisestorm
Seven Seas,Cody Sorenson;John Kenza;DuGong
Aspiration,Teminite
Jumbo,Alex Skrindo
Cloud 9,Tobu;Itro
Cats,TheFatRat
Levels - Radio Edit,Avicii
Candyland Pt. II,Tobu
The 7 Seas,F-777
Swords Dance,TheFatRat
Firefly,Jim Yosef
Fun,Xiaro;Ukulele;Satchell
Joy,Tobu
Skyline,Kovan;Electro-Light
Eclipse,Jim Yosef
Hadouken,Lupus Nocte
Panda,Desiigner
Higher,Tobu
Unstoppable,Teminite
Limitless,Elektronomia
Free Tonight,Xack
Donuts,TheFatRat
Link,Jim Yosef
Popsicle,LFZ
Energy,Elektronomia
Echoes,LFZ
Puzzle,RetroVision
Invincible,Deaf Kev
Invisible,ZeuX Crona;Julius Dreisig
Masked Raver,Vexento
Summer Vibes,Elektronomia
Ghost Town,Cody Sorenson
Forever,DuGong;Cody Sorenson
Frisbee,Ahxello
Sky High,Elektronomia
Breathe,Thomas Frinking
